Наименование:;Код товара:;Артикул:;Группа товаров:;Вид товаров:;Единица измерения:;Весовой товар:;Код весового товара;Штрих-код:;Цена:;Количество:
АВК Цукерки у коробці " Вечір Золотий" 225 г;7307;7307;Колбаса;Колбаса;кг;True;7307;4823015647260;36580;7316
АВК Цукерки у коробці " Вечір Золотий" 450 г;7308;7308;Колбаса;Колбаса;кг;True;7308;4823015647284;36585;7317
Батончик "Хто сказав "Му?" 40 г;7309;7309;Колбаса;Колбаса;кг;True;7309;4823015649066;36590;7318
Пов.батончик "Мажор" вишня 38 г;7310;7310;Колбаса;Колбаса;кг;True;7310;4823015649110;36595;7319
Батончик "Хто сказав "Му?" 29 г;7311;7311;Колбаса;Колбаса;кг;True;7311;4823015649585;36600;7320
АВК Цукерки у коробці "Труфальє" трюфельно-горіховий смак200 г;7312;7312;Колбаса;Колбаса;кг;True;7312;4823015655463;36605;7321
Печ. АВК "Кукіс" з шоколадом 190 г;7313;7313;Колбаса;Колбаса;кг;True;7313;4823015655678;36610;7322
Батончик "Горіхи +ягоди"  39 г;7314;7314;Колбаса;Колбаса;кг;True;7314;4823015656019;36615;7323
АВК Цукерки у коробці "Кор. Шедевр" з фундуком 51 г;7315;7315;Колбаса;Колбаса;кг;True;7315;4823015657337;36620;7324
Батончик "Krinkle" 20 г;7316;7316;Колбаса;Колбаса;кг;True;7316;4823015657597;36625;7325
Печ. "До чаю" з пряженим молоком 180г;7317;7317;Колбаса;Колбаса;кг;True;7317;4823017503083;36630;7326
Горілка Nemiroff "Premium De Luxe" 0,7л;7318;7318;Колбаса;Колбаса;кг;True;7318;4823021801199;36635;7327
Настоянка "Neniroff" Медова з перцем 1 л;7319;7319;Колбаса;Колбаса;кг;True;7319;4823021801335;36640;7328
Горілка Nemiroff "Lex" 0.7 л;7320;7320;Колбаса;Колбаса;кг;True;7320;4823021802189;36645;7329
Горілка Nemiroff "Особлива Лайт" 0,7 л;7321;7321;Колбаса;Колбаса;кг;True;7321;4823021802509;36650;7330
Горілка Nemiroff "Lex" 0.5л;7322;7322;Колбаса;Колбаса;кг;True;7322;4823021804114;36655;7331
Горілка Nemiroff набор 5*100мл;7323;7323;Колбаса;Колбаса;кг;True;7323;4823021806101;36660;7332
Горілка Nemiroff "Original" 1,75л;7324;7324;Колбаса;Колбаса;кг;True;7324;4823021808174;36665;7333
Ювілейний Ковбаса 1/с вар. "Ретро" 0,5 0;7325;7325;Колбаса;Колбаса;кг;True;7325;4823022601798;36670;7334
Ювілейний Ковбаса 1/с вар. "Ретро з молоком" 0,5 0;7326;7326;Колбаса;Колбаса;кг;True;7326;4823022601811;36675;7335
Ювілейний Ковбаса 1/с вар. "Куряча" 0,5 0;7327;7327;Колбаса;Колбаса;кг;True;7327;4823022601835;36680;7336
Ювілейний Ковбаса в/с в/к "Сервелат" 0,30;7328;7328;Колбаса;Колбаса;кг;True;7328;4823022602412;36685;7337
Ювілейний Ковбаса 1/с н/к "Салямі класика" 0,350;7329;7329;Колбаса;Колбаса;кг;True;7329;4823022602559;36690;7338
Ювілейний Ковбаса 1/с вар. "Молочна" 0,5 0;7330;7330;Колбаса;Колбаса;кг;True;7330;4823022603082;36695;7339
Ювілейний Ковбаса в/с вар. "Лікарська" 0,35 0;7331;7331;Колбаса;Колбаса;кг;True;7331;4823022603099;36700;7340
Ювілейний Ковбаса 2/с вар. "До чаю" 0,5 0;7332;7332;Колбаса;Колбаса;кг;True;7332;4823022603112;36705;7341
Ювілейний Ковбаса 1/с вар. "Українська з шинкою" 0,5 0;7333;7333;Колбаса;Колбаса;кг;True;7333;4823022603334;36710;7342
Ювілейний Ковбаса 1/с вар. "Українська з салом" 0,5 0;7334;7334;Колбаса;Колбаса;кг;True;7334;4823022603358;36715;7343
Ювілейний Салямі Баварська Напівкопчена 1с;7335;7335;Колбаса;Колбаса;кг;True;7335;4823022603532;36720;7344
Ювілейний Ковбаса 1/с н/к "Салямі ретро" 0,350;7336;7336;Колбаса;Колбаса;кг;True;7336;4823022603549;36725;7345
Ювілейний Салямі Коньячна Напівкопчена 1с;7337;7337;Колбаса;Колбаса;кг;True;7337;4823022603563;36730;7346
Ювілейний Ковбаса в/с вар. з вершками 0,35 0;7338;7338;Колбаса;Колбаса;кг;True;7338;4823022603631;36735;7347
Ювілейний Салямі Фінська Напівкопчена 1с;7339;7339;Колбаса;Колбаса;кг;True;7339;4823022603792;36740;7348
Самобранка Ковбаса вар. 1/с "До олів'є" 0,50;7340;7340;Колбаса;Колбаса;кг;True;7340;4823022603884;36745;7349
Самобранка Ковбаса вар. 2/с "З молоком";7341;7341;Колбаса;Колбаса;кг;True;7341;4823022603952;36750;7350
Охотське море ікра червона лососева зерниста 95 г;7342;7342;Колбаса;Колбаса;кг;True;7342;4823024600522;36755;7351
Сахалін ікра червона лососева Парамуш 130 г;7343;7343;Колбаса;Колбаса;кг;True;7343;4823024601772;36760;7352
Сахалін ікра лососева червона зерниста140 г;7344;7344;Колбаса;Колбаса;кг;True;7344;4823024602724;36765;7353
Сахалін ікра лососева червона зерниста100 г;7345;7345;Колбаса;Колбаса;кг;True;7345;4823024603332;36770;7354
Охотське море ікра мінтая пробойна солона 100 г;7346;7346;Колбаса;Колбаса;кг;True;7346;4823024603783;36775;7355
Охотське море ікра сайди пробойна солона 100 г;7347;7347;Колбаса;Колбаса;кг;True;7347;4823024603882;36780;7356
Колумб Бички обсмажені в томатному соусі 240г;7348;7348;Колбаса;Колбаса;кг;True;7348;4823027600123;36785;7357
Чай Добриня Микитич "Міцний" 250 г;7349;7349;Колбаса;Колбаса;кг;True;7349;4823033000252;36790;7358
Чай Добриня Микитич "Міцний" 500 г;7350;7350;Колбаса;Колбаса;кг;True;7350;4823033000269;36795;7359
Чай Добриня Микитич"Міцний" 45 г;7351;7351;Колбаса;Колбаса;кг;True;7351;4823033000399;36800;7360
Чай Добриня Микитич "Міцний" 20 пак.;7352;7352;Колбаса;Колбаса;кг;True;7352;4823033002676;36805;7361
Кава "Maksimus" 150 г;7353;7353;Колбаса;Колбаса;кг;True;7353;4823033003109;36810;7362
Чай Добриня Дар "Каркадэ" 70 г;7354;7354;Колбаса;Колбаса;кг;True;7354;4823033003512;36815;7363
Кава "Maksimus"230 г;7355;7355;Колбаса;Колбаса;кг;True;7355;4823033003567;36820;7364
Кава "Maksimus" 70 г;7356;7356;Колбаса;Колбаса;кг;True;7356;4823033003635;36825;7365
Кава "Maksimus" Columbian 140 г;7357;7357;Колбаса;Колбаса;кг;True;7357;4823033003642;36830;7366
Какао порошок справжній 100% 150 г;7358;7358;Колбаса;Колбаса;кг;True;7358;4823033003697;36835;7367
Кава "Maksimus" Kenia 70 г;7359;7359;Колбаса;Колбаса;кг;True;7359;4823033003857;36840;7368
Кава "Maksimus голд" чашка 70 г;7360;7360;Колбаса;Колбаса;кг;True;7360;4823033003918;36845;7369
Алан Ковбаса вар. "Смачна куряча" 0,30;7361;7361;Колбаса;Колбаса;кг;True;7361;4823036500360;36850;7370
Алан Ковбаса вар. в/с "Дитяча" 0,40;7362;7362;Колбаса;Колбаса;кг;True;7362;4823036501701;36855;7371
Алан Продукт для солянки в/к;7363;7363;Колбаса;Колбаса;кг;True;7363;4823036502234;36860;7372
Ікра "УкрПоле" з кабачків 440г;7364;7364;Колбаса;Колбаса;кг;True;7364;4823038600778;36865;7373
УкрПоле Горошок консервований 400г;7365;7365;Колбаса;Колбаса;кг;True;7365;4823038600815;36870;7374
Кукурудза "Укрполе" цукрова 425г;7366;7366;Колбаса;Колбаса;кг;True;7366;4823038600822;36875;7375
Масло "Вершкова Долина" 72,6% жиру 200 г;7367;7367;Колбаса;Колбаса;кг;True;7367;4823039000614;36880;7376
Масло "Наш Молочник" селянське 72,6% жиру 200 г;7368;7368;Колбаса;Колбаса;кг;True;7368;4823039000621;36885;7377
Масло "Наш Молочник" селянське 72,6% жиру 100 г;7369;7369;Колбаса;Колбаса;кг;True;7369;4823039000638;36890;7378
Наш сирок Сир плавлений Дружба 90 г;7370;7370;Колбаса;Колбаса;кг;True;7370;4823039000645;36895;7379
Молочнік Наш сирок вершковий 90 г;7371;7371;Колбаса;Колбаса;кг;True;7371;4823039000669;;7380
Наш Молочник сир плавлений дружба 50% 90 г;7372;7372;Колбаса;Колбаса;кг;True;7372;4823039000683;0;7381
Наш Молочник янтар сир плавлений 60% 100г;7373;7373;Колбаса;Колбаса;кг;True;7373;4823039000706;0;7382
Масло "Солодковершкове" селянське 72,6% 200г;7374;7374;Колбаса;Колбаса;кг;True;7374;4823039000744;0;7383
Наш Молочник сир плавлений зі смаком грибів 50% 90г;7375;7375;Колбаса;Колбаса;кг;True;7375;4823039000768;0;7384
Наш Молочник сир плавлений зі смаком бекону 50% 90г;7376;7376;Колбаса;Колбаса;кг;True;7376;4823039000775;0;7385
Сир"Наш молочник" плавлений 50% 90 г;7377;7377;Колбаса;Колбаса;кг;True;7377;4823039000782;0;7386
Народний продукт сир плавлений з ароматом копчення 60% 350г;7378;7378;Колбаса;Колбаса;кг;True;7378;4823039000850;0;7387
Народний продукт сир плавлений з ароматом вершків 60% 350г;7379;7379;Колбаса;Колбаса;кг;True;7379;4823039000867;0;7388
Народний продукт сир плавлений з ароматом грибів 60% 350г;7380;7380;Колбаса;Колбаса;кг;True;7380;4823039000874;0;7389
Дружба сир плавлений 90г;7381;7381;Колбаса;Колбаса;кг;True;7381;4823039000881;0;7390
Масло "Наш молочник" селянське 72,6% 500г;7382;7382;Колбаса;Колбаса;кг;True;7382;4823039000911;0;7391
Наш Молочник янтар сир плавлений 60% 180г;7383;7383;Колбаса;Колбаса;кг;True;7383;4823039000942;0;7392
Наш Молочник сир плавлений дружба 55% 100г;7384;7384;Колбаса;Колбаса;кг;True;7384;4823039000966;0;7393
Наш Молочник сир плавлений зі смаком бекону 60% 100г;7385;7385;Колбаса;Колбаса;кг;True;7385;4823039000973;0;7394
Масло "Наш молочник" солодковершкове 69,2% 200г;7386;7386;Колбаса;Колбаса;кг;True;7386;4823039000997;0;7395
Наш Молочник сир плавлений з грибами 60% 100г;7387;7387;Колбаса;Колбаса;кг;True;7387;4823039001024;0;7396
Наш Молочник сир плавлений вершковий 50% 90г;7388;7388;Колбаса;Колбаса;кг;True;7388;4823039001222;0;7397
Molendam сир плавлений гауда 45% 160г;7389;7389;Колбаса;Колбаса;кг;True;7389;4823039001246;0;7398
Янтар продукт молоковмісний сирний плавлений 60% 180г;7390;7390;Колбаса;Колбаса;кг;True;7390;4823039001475;0;7399
Масло "Вершкова долина" 72,6% 350г;7391;7391;Колбаса;Колбаса;кг;True;7391;4823039001635;0;7400
Оцет "Промінь" оцет яблучний 9% скло 0,5 л;7392;7392;Колбаса;Колбаса;кг;True;7392;4823040700572;0;7401
Чай "Sherwood" чорний з бергамотом 90 г;7393;7393;Колбаса;Колбаса;кг;True;7393;4823041003542;0;7402
Чай "Sherwood" зелений з жасміном 90 г;7394;7394;Колбаса;Колбаса;кг;True;7394;4823041003559;0;7403
Чай "Sherwood" чорний 20 пак;7395;7395;Колбаса;Колбаса;кг;True;7395;4823041003580;0;7404
Чай "Sherwood" English elite чорний 20 пак;7396;7396;Колбаса;Колбаса;кг;True;7396;4823041003603;0;7405
Чай "Sherwood" чорний з бергамотом 20 пак;7397;7397;Колбаса;Колбаса;кг;True;7397;4823041003610;0;7406
Чай "Sherwood" зелений з жасміном 20 пак;7398;7398;Колбаса;Колбаса;кг;True;7398;4823041003627;0;7407
Чай "Sherwood" чорний та зелений з малиною 20 пак;7399;7399;Колбаса;Колбаса;кг;True;7399;4823041003634;0;7408
Чай "Sherwood" зелений 20 пак;7400;7400;Колбаса;Колбаса;кг;True;7400;4823041003641;0;7409
Шоколад "Dominik" молочний з фундуком 100 г;7401;7401;Колбаса;Колбаса;кг;True;7401;4823055508095;0;7410
Шоколад "Dominik" молочний з фундуком та родзинками 100 г;7402;7402;Колбаса;Колбаса;кг;True;7402;4823055508101;0;7411
Набір шоколаду "Новорічна таємниця від домінік" 4*50 г;7403;7403;Колбаса;Колбаса;кг;True;7403;4823055508965;0;7412
Набір шоколаду "Домінік" 4*50 г;7404;7404;Колбаса;Колбаса;кг;True;7404;4823055511071;0;7413
Халва сонячникова "Домінік" глазурована 85 г;7405;7405;Колбаса;Колбаса;кг;True;7405;4823055511873;0;7414
Печиво "Коровкіна Забавка" 120 г;7406;7406;Колбаса;Колбаса;кг;True;7406;4823055513068;0;7415
Печиво "Галетики" з родзинками 120 г;7407;7407;Колбаса;Колбаса;кг;True;7407;4823055513198;0;7416
Цукерки "Снекджой" з курагою 48 г;7408;7408;Колбаса;Колбаса;кг;True;7408;4823055513525;0;7417
Вімм-Білль-Данн смачненький сирочок лісова ягода 5,0% 100г;7409;7409;Колбаса;Колбаса;кг;True;7409;4823061300652;0;7418
Чудо Сирок персик-груша 4,2% 115 г;7410;7410;Колбаса;Колбаса;кг;True;7410;4823061303172;0;7419
Чудо Сирок полуниця 4,2% 115 г;7411;7411;Колбаса;Колбаса;кг;True;7411;4823061303189;0;7420
Чудо сирок вишня 4,2% 115г;7412;7412;Колбаса;Колбаса;кг;True;7412;4823061303196;0;7421
Смачненька Машенька 5,0%;7413;7413;Колбаса;Колбаса;кг;True;7413;4823061304766;0;7422
Слов`яночка Сметана 20%  400 г;7414;7414;Колбаса;Колбаса;кг;True;7414;4823061306043;0;7423
Чудо йогурт персик-абрикос 2,5% 300 г;7415;7415;Колбаса;Колбаса;кг;True;7415;4823061306982;0;7424
Чудо йогурт суниця 2,5% 300 г;7416;7416;Колбаса;Колбаса;кг;True;7416;4823061306999;0;7425
Чудо йогурт ківі-мюслі 2,5% 300г;7417;7417;Колбаса;Колбаса;кг;True;7417;4823061307125;0;7426
Смачненька Машенька зі злаковими кульками шоколадна 5,0% 140 г;7418;7418;Колбаса;Колбаса;кг;True;7418;4823061308085;0;7427
Слов`яночка ряжанка 4% 870г;7419;7419;Колбаса;Колбаса;кг;True;7419;4823061308740;0;7428
 Агуша молоко  1л;7420;7420;Колбаса;Колбаса;кг;True;7420;4823061308924;0;7429
Чудо сирок малина-червона смородина 4,2% 115г;7421;7421;Колбаса;Колбаса;кг;True;7421;4823061309273;0;7430
Агуша сирок дитячий груша 3,9% 100г;7422;7422;Колбаса;Колбаса;кг;True;7422;4823061311528;0;7431
Агуша сирок дитячий абрикос-морква 3,9% 100г;7423;7423;Колбаса;Колбаса;кг;True;7423;4823061311641;0;7432
Агуша йогурт дитячий малина 2,7% 200г;7424;7424;Колбаса;Колбаса;кг;True;7424;4823061311733;0;7433
Агуша йогурт дитячий персик 2,7% 200г;7425;7425;Колбаса;Колбаса;кг;True;7425;4823061311757;0;7434
Агуша йогурт дитячий полуниця-банан 2,7% 200г;7426;7426;Колбаса;Колбаса;кг;True;7426;4823061311771;0;7435
Слов`яночка Молоко  2,5%  870 г;7427;7427;Колбаса;Колбаса;кг;True;7427;4823061313805;0;7436
Агуша сирок дитячий гарбуз 3,9% 100г;7428;7428;Колбаса;Колбаса;кг;True;7428;4823061313980;0;7437
Слов`яночка Кефір 1,0%  450 г;7429;7429;Колбаса;Колбаса;кг;True;7429;4823061314895;0;7438
Слов`яночка Кефір 1%  870 г;7430;7430;Колбаса;Колбаса;кг;True;7430;4823061314918;0;7439
Слов`яночка Кефір 2,5% 900 г;7431;7431;Колбаса;Колбаса;кг;True;7431;4823061314932;0;7440
Слов`яночка Кефір 2,5%  870 г;7432;7432;Колбаса;Колбаса;кг;True;7432;4823061314949;0;7441
 Агуша молоко "Я сам " з 3-х років 1л;7433;7433;Колбаса;Колбаса;кг;True;7433;4823061315311;0;7442
Слов`яночка Молоко 2,5% 900 г;7434;7434;Колбаса;Колбаса;кг;True;7434;4823061315502;0;7443
Чудо йогурт полуниця-суниця 2,5% 350 г;7435;7435;Колбаса;Колбаса;кг;True;7435;4823061315601;0;7444
Чудо йогурт вишня-черешня 2,5% 350 г;7436;7436;Колбаса;Колбаса;кг;True;7436;4823061315632;0;7445
Чудо йогурт диня-манго 2,5% 350г;7437;7437;Колбаса;Колбаса;кг;True;7437;4823061315663;0;7446
Чудо йогурт персик-абрикос 2,5% 350 г;7438;7438;Колбаса;Колбаса;кг;True;7438;4823061315694;0;7447
Чудо йогурт малина-гранат 2,5% 350 г;7439;7439;Колбаса;Колбаса;кг;True;7439;4823061315724;0;7448
Чудо йогурт лісова ягода 2,5% 350г;7440;7440;Колбаса;Колбаса;кг;True;7440;4823061315847;0;7449
Чудо йогурт груша-мюслі 2,5% 350 г;7441;7441;Колбаса;Колбаса;кг;True;7441;4823061315878;0;7450
Слов`яночка Сметана 20%  450 г;7442;7442;Колбаса;Колбаса;кг;True;7442;4823061316578;0;7451
Агуша сирок дитячий банан-ябюлуко 3,9% 100г;7443;7443;Колбаса;Колбаса;кг;True;7443;4823061316950;0;7452
Чудо десерт сирковий "фруктова колекція" полуниця з вершками 3,6% 300г;7444;7444;Колбаса;Колбаса;кг;True;7444;4823061318053;0;7453
Чудо десерт сирковий "фруктова колекція" персиковий сабайон та шоколадна глазур 3,6% 300г;7445;7445;Колбаса;Колбаса;кг;True;7445;4823061318060;0;7454
Слов`яночка сир кисломолочний 9% 341г;7446;7446;Колбаса;Колбаса;кг;True;7446;4823061318657;0;7455
Слов`яночка сир кисломолочний нежирний 341г;7447;7447;Колбаса;Колбаса;кг;True;7447;4823061318671;0;7456
Слов`яночка кефір 1% 870г;7448;7448;Колбаса;Колбаса;кг;True;7448;4823061319098;0;7457
Слов`яночка сир кисломолочний 5,0% 202г;7449;7449;Колбаса;Колбаса;кг;True;7449;4823061319371;0;7458
Слов`яночка молоко 2,5% 902г;7450;7450;Колбаса;Колбаса;кг;True;7450;4823061319418;0;7459
Слов`яночка сметана 20% 407г;7451;7451;Колбаса;Колбаса;кг;True;7451;4823061319470;0;7460
Слов`яночка сир кисломолочний 9% 350 г;7452;7452;Колбаса;Колбаса;кг;True;7452;4823061319890;0;7461
Слов`яночка сир кисломолочний нежирний 350 г;7453;7453;Колбаса;Колбаса;кг;True;7453;4823061319920;0;7462
Сік "Сандора" красний виноград 1л;7454;7454;Колбаса;Колбаса;кг;True;7454;4823063101660;0;7463
Сік "Сандора" апельсин1,5л;7455;7455;Колбаса;Колбаса;кг;True;7455;4823063101677;0;7464
Сік "Сандора" апельсин 2л;7456;7456;Колбаса;Колбаса;кг;True;7456;4823063101776;0;7465
Сік "Сандорик" мультифрукт.  0,2 л;7457;7457;Колбаса;Колбаса;кг;True;7457;4823063103103;0;7466
Сік "Сандорик" банан+ ябл.+полуниця  0,2 л;7458;7458;Колбаса;Колбаса;кг;True;7458;4823063103701;0;7467
Сік "Сандорик" яблуко-виноград 0,2 л;7459;7459;Колбаса;Колбаса;кг;True;7459;4823063103718;0;7468
Сік "Сандорик" ябл.+морк.+малина  0,2 л;7460;7460;Колбаса;Колбаса;кг;True;7460;4823063103756;0;7469
Напій "Pepsi" 0,5 л;7461;7461;Колбаса;Колбаса;кг;True;7461;4823063104203;0;7470
Напій "Pepsi"  1 л;7462;7462;Колбаса;Колбаса;кг;True;7462;4823063104227;0;7471
Напій "Pepsi"  1,5 л;7463;7463;Колбаса;Колбаса;кг;True;7463;4823063104234;0;7472
Напій "Pepsi"  2 л;7464;7464;Колбаса;Колбаса;кг;True;7464;4823063104241;0;7473
Напій "Pepsi"  скло 0,3 л;7465;7465;Колбаса;Колбаса;кг;True;7465;4823063104388;0;7474
Сік Садочок яблуко-полуниця 0,2л тетропак;7466;7466;Колбаса;Колбаса;кг;True;7466;4823063105057;0;7475
Сік "Садочок" мультифруктовий 0,2л;7467;7467;Колбаса;Колбаса;кг;True;7467;4823063105255;0;7476
Сік Садочок мультифруктовий 0,5 л;7468;7468;Колбаса;Колбаса;кг;True;7468;4823063105293;0;7477
Сік "Сандора" мультівітамін 1л;7469;7469;Колбаса;Колбаса;кг;True;7469;4823063105408;0;7478
Сік "Сандора" сицилійський червоний апельсин 1л;7470;7470;Колбаса;Колбаса;кг;True;7470;4823063105422;0;7479
Сік Садочок персик 0,2л тетропак;7471;7471;Колбаса;Колбаса;кг;True;7471;4823063105439;0;7480
Сік Садочок апельсин 0,2л тетропак;7472;7472;Колбаса;Колбаса;кг;True;7472;4823063105491;0;7481
Сік Садочок мультівітамінний 0,2л тетропак;7473;7473;Колбаса;Колбаса;кг;True;7473;4823063105538;0;7482
Сік Садочок яблучно-моркв`яно-полуничний 0,2л;7474;7474;Колбаса;Колбаса;кг;True;7474;4823063105576;0;7483
Сік Садочок яблуко 0,2л тетропак;7475;7475;Колбаса;Колбаса;кг;True;7475;4823063105606;0;7484
Сік "Сандора" вишня 1л;7476;7476;Колбаса;Колбаса;кг;True;7476;4823063105736;0;7485
Сік "Сандора" вишня 1,5 л;7477;7477;Колбаса;Колбаса;кг;True;7477;4823063105743;0;7486
Сік "Сандора" гранатовий 1л;7478;7478;Колбаса;Колбаса;кг;True;7478;4823063105767;0;7487
Сік "Сандора" манго 1л;7479;7479;Колбаса;Колбаса;кг;True;7479;4823063105781;0;7488
Сік "Сандора" чорна смородина1л;7480;7480;Колбаса;Колбаса;кг;True;7480;4823063105798;0;7489
Сік "Сандора" томат 1л;7481;7481;Колбаса;Колбаса;кг;True;7481;4823063105965;0;7490
Сік "Сандора" грейпфрукт 1л;7482;7482;Колбаса;Колбаса;кг;True;7482;4823063105972;0;7491
Сік "Сандора" лимон 1л;7483;7483;Колбаса;Колбаса;кг;True;7483;4823063105989;0;7492
Сік "Сандора" овочевий 1л;7484;7484;Колбаса;Колбаса;кг;True;7484;4823063105996;0;7493
Сік "Сандора" банан1л;7485;7485;Колбаса;Колбаса;кг;True;7485;4823063106023;0;7494
Сік "Сандора" із білого винограду 1л;7486;7486;Колбаса;Колбаса;кг;True;7486;4823063106030;0;7495
Сік "Сандора" апельсин1л;7487;7487;Колбаса;Колбаса;кг;True;7487;4823063106047;0;7496
Сік "Сандора" ананасовий 1л;7488;7488;Колбаса;Колбаса;кг;True;7488;4823063106054;0;7497
Сік "Сандора" журавлинний 1л;7489;7489;Колбаса;Колбаса;кг;True;7489;4823063106061;0;7498
Сік "Сандора" яблуко 1л;7490;7490;Колбаса;Колбаса;кг;True;7490;4823063106238;0;7499
Сік "Сандора" яблуко 1,5л;7491;7491;Колбаса;Колбаса;кг;True;7491;4823063106245;0;7500
Сік Садочок яблуко-банан 0,2л тетропак;7492;7492;Колбаса;Колбаса;кг;True;7492;4823063106597;0;7501
Сік Садочок яблучно-вишневий 0,95л;7493;7493;Колбаса;Колбаса;кг;True;7493;4823063107075;0;7502
Сік Садочок ананас  0,95л тетропак;7494;7494;Колбаса;Колбаса;кг;True;7494;4823063107259;0;7503
Сік Садочок апельсин  0,95л тетропак;7495;7495;Колбаса;Колбаса;кг;True;7495;4823063107266;0;7504
Сік Садочок мультівітамін  0,95л тетропак;7496;7496;Колбаса;Колбаса;кг;True;7496;4823063107273;0;7505
Сік Садочок мультіфруктовий  0,95л тетропак;7497;7497;Колбаса;Колбаса;кг;True;7497;4823063107280;0;7506
Сік Садочок  персик 0,95л тетропак;7498;7498;Колбаса;Колбаса;кг;True;7498;4823063107297;0;7507
Сік Садочок томат  0,95л тетропак;7499;7499;Колбаса;Колбаса;кг;True;7499;4823063107303;0;7508
Сік Садочок яблучно-банановий 0,95 л;7500;7500;Колбаса;Колбаса;кг;True;7500;4823063107310;0;7509
Сік Садочок  виноград  0,95л тетропак;7501;7501;Колбаса;Колбаса;кг;True;7501;4823063107327;0;7510
Сік Садочок яблуко-виноград червоний  0,95л тетропак;7502;7502;Колбаса;Колбаса;кг;True;7502;4823063107334;0;7511
Сік Садочок яблуко 0,95л тетропак;7503;7503;Колбаса;Колбаса;кг;True;7503;4823063107365;0;7512
Сік "Садочок" яблучно-полуничний 0,95л;7504;7504;Колбаса;Колбаса;кг;True;7504;4823063107419;0;7513
Сік Садочок апельсин 1,93л тетропак;7505;7505;Колбаса;Колбаса;кг;True;7505;4823063107518;0;7514
Сік Садочок мультифрукт 1,93л;7506;7506;Колбаса;Колбаса;кг;True;7506;4823063107532;0;7515
Сік Садочок персик 1,93л тетропак;7507;7507;Колбаса;Колбаса;кг;True;7507;4823063107549;0;7516
Сік Садочок яблуко - виноград  1,93л;7508;7508;Колбаса;Колбаса;кг;True;7508;4823063107563;0;7517
Сік Садочок яблуко-виноград 1,93л тетропак;7509;7509;Колбаса;Колбаса;кг;True;7509;4823063107570;0;7518
Сік "Сандора" яблуко 1,93 л;7510;7510;Колбаса;Колбаса;кг;True;7510;4823063107587;0;7519
Сік Садочок яблуко - полуничний  1,93л;7511;7511;Колбаса;Колбаса;кг;True;7511;4823063107594;0;7520
Сік Садочок мультіфруктовий 0,4л;7512;7512;Колбаса;Колбаса;кг;True;7512;4823063107600;0;7521
Сік Садочок яблучний 0,4л;7513;7513;Колбаса;Колбаса;кг;True;7513;4823063107617;0;7522
Сік Садочок яблучно-виноградний 0,4л;7514;7514;Колбаса;Колбаса;кг;True;7514;4823063107631;0;7523
Сік Садочок яблучно-вишневий 0,4л;7515;7515;Колбаса;Колбаса;кг;True;7515;4823063107648;0;7524
Сік "Сандора" яблуко- вишня 1,93 л;7516;7516;Колбаса;Колбаса;кг;True;7516;4823063108300;0;7525
Мін.вода "Эссентукское месторождение" скло 0,5 л;7517;7517;Колбаса;Колбаса;кг;True;7517;4823063108591;0;7526
Мін.вода "Эссентукское месторождение" 1,5 л;7518;7518;Колбаса;Колбаса;кг;True;7518;4823063108607;0;7527
Сік "Сандора" овощний коктель томат 1л;7519;7519;Колбаса;Колбаса;кг;True;7519;4823063108782;0;7528
Сік "Сандора" бананово-яблучно-полуничний 1л;7520;7520;Колбаса;Колбаса;кг;True;7520;4823063109000;0;7529
Сік "Сандора" апельсиново-грейпфруктовий1л;7521;7521;Колбаса;Колбаса;кг;True;7521;4823063109024;0;7530
Сік Садочок морс з яблук та горобини 0,4л;7522;7522;Колбаса;Колбаса;кг;True;7522;4823063109147;0;7531
Агуша набір №11 грушево-яблучне пюре 2*115 г;7523;7523;Колбаса;Колбаса;кг;True;7523;4823063110037;0;7532
Сухарі Хрусteam "К пенному" холодець з хріном 90 г;7524;7524;Колбаса;Колбаса;кг;True;7524;4823063110235;0;7533
Сухарі Хрусteam "К пенному" шашлик 90 г;7525;7525;Колбаса;Колбаса;кг;True;7525;4823063110259;0;7534
Сухарі Хрусteam "К пенному" Копчений сир 90 г;7526;7526;Колбаса;Колбаса;кг;True;7526;4823063110266;0;7535
Сік Садочок яблучно-гранатовий 0,95 л;7527;7527;Колбаса;Колбаса;кг;True;7527;4823063110273;0;7536
Сік Садочок яблучно-гранатовий 0,4л;7528;7528;Колбаса;Колбаса;кг;True;7528;4823063110280;0;7537
Напій "Mirinda"  апельсин 1л;7529;7529;Колбаса;Колбаса;кг;True;7529;4823063110501;0;7538
Сік "Агуша" яблуко-банан з 6 міс 200 мл;7530;7530;Колбаса;Колбаса;кг;True;7530;4823063110709;0;7539
Сік "Агуша" яблуко-виноград з 6 міс 200 мл;7531;7531;Колбаса;Колбаса;кг;True;7531;4823063110716;0;7540
Сік "Агуша" яблуко-вишня з 5 міс 200 мл;7532;7532;Колбаса;Колбаса;кг;True;7532;4823063110723;0;7541
Сік "Агуша" яблуко-груша з 4 міс 200 мл;7533;7533;Колбаса;Колбаса;кг;True;7533;4823063110730;0;7542
Сік "Агуша" яблуко-персик з 5 міс 200 мл;7534;7534;Колбаса;Колбаса;кг;True;7534;4823063110747;0;7543
Сік "Сандора" апельсиново-персиковий нектар 1л;7535;7535;Колбаса;Колбаса;кг;True;7535;4823063111119;0;7544
Сухарі "Хрусteam" до пінного зі смаком холодцю з хріном 80г;7536;7536;Колбаса;Колбаса;кг;True;7536;4823063111140;0;7545
